Id,Name,Team,Type,Price,IsForeigner,IsSpinner,IsFastBowler,Opener,Middle,Finisher,Newball,Death,Dependable
154,Arjun Tendulkar,MI,BOWL,0.3,false,false,true,0,0,0,0,0,0
155,Zeeshan Ansari,SRH,BOWL,0.4,false,true,false,0,0,0,0,0,0
156,Manimaran Siddharth,LSG,BOWL,0.75,false,true,false,0,0,0,0,0,0
157,Digvesh Singh,LSG,BOWL,0.3,false,false,true,0,0,0,0,0,0
158,Manish Pandey,KKR,BAT,0.75,false,false,false,0,0,0,0,0,0
159,Sherfane Rutherford,GT,BAT,2.6,true,false,false,0,0,0,0,0,0
160,Shahbaz Ahmed,LSG,AR,2.4,false,true,false,0,0,0,0,0,0
161,Moeen Ali,KKR,AR,2,true,true,false,0,0,0,0,0,0
162,Tim David,RCB,AR,3,true,true,false,0,0,0,0,0,0
163,Deepak Hooda,CSK,AR,1.7,false,true,false,0,0,0,0,0,0
164,Will Jacks,MI,AR,5.25,true,true,false,0,0,0,0,0,0
165,Azmatullah Omarzai,PBKS,AR,2.4,true,false,true,0,0,0,0,0,0
166,Sai Kishore,GT,AR,2,false,true,false,0,0,0,0,0,0
167,Romario Shepherd,RCB,AR,1.5,true,false,true,0,0,0,0,0,0
168,Spencer Johnson,KKR,BOWL,2.8,true,false,true,0,0,0,0,0,0
169,Umran Malik,KKR,BOWL,0.75,false,false,true,0,0,0,0,0,0
170,Ishant Sharma,GT,BOWL,0.75,false,false,true,0,0,0,0,0,0
171,Nuwan Thushara,RCB,BOWL,1.6,true,false,true,0,0,0,0,0,0
172,Jaydev Unadkat,SRH,BOWL,1,false,false,true,0,0,0,0,0,0
173,Sachin Baby,SRH,BAT,0.3,false,false,false,0,0,0,0,0,0
174,Harnoor Singh,PBKS,BAT,0.3,false,false,false,0,0,0,0,0,0
175,C Andre Siddarth,CSK,BAT,0.3,false,false,false,0,0,0,0,0,0
176,Yudhvir Singh,RR,AR,0.35,false,false,true,0,0,0,0,0,0
177,Rajvardhan Hangargekar,LSG,AR,0.3,false,false,true,0,0,0,0,0,0
178,Arshin Kulkarni,LSG,AR,0.3,false,false,true,0,0,0,0,0,0
179,Ashwani Kumar,MI,BOWL,0.3,false,false,true,0,0,0,0,0,0
180,Akash Singh,LSG,BOWL,0.3,false,false,true,0,0,0,0,0,0
181,Gurjapneet Singh,CSK,BOWL,2.2,false,false,true,0,0,0,0,0,0
182,Matthew Breetzke,LSG,WKBAT,0.75,true,false,false,0,0,0,0,0,0
183,Mitchell Santner,MI,AR,2,true,true,false,0,0,0,0,0,0
184,Jayant Yadav,GT,AR,0.75,false,true,false,0,0,0,0,0,0
185,Fazalhaq Farooqi,RR,BOWL,2,true,false,true,0,0,0,0,0,0
186,Kwena Maphaka,RR,BOWL,1.5,true,false,true,0,0,0,0,0,0
187,Kuldeep Sen,PBKS,BOWL,0.8,false,false,true,0,0,0,0,0,0
188,Reece Topley,MI,BOWL,0.75,true,false,true,0,0,0,0,0,0
189,Lizaad Williams,MI,BOWL,0.75,true,false,true,0,0,0,0,0,0
190,Priyansh Arya,PBKS,AR,3.8,false,true,false,0,0,0,0,0,0
191,Manoj Bhandage,RCB,AR,0.3,false,false,true,0,0,0,0,0,0
192,Praveen Dubey,PBKS,AR,0.3,false,true,false,0,0,0,0,0,0
193,Ajay Mandal,DC,AR,0.3,false,true,false,0,0,0,0,0,0
194,Vipraj Nigam,DC,AR,0.5,false,true,false,0,0,0,0,0,0
195,Krishnan Shrijith,MI,BAT,0.3,false,false,false,0,0,0,0,0,0
196,Mohit Rathee,RCB,BOWL,0.3,false,true,false,0,0,0,0,0,0
